Thrift Shop |Macklemore & Ryan Lewis Featuring Wanz
Locked Out Of Heaven |Bruno Mars
Scream And Shout |will.i.am & Britney Spears
Ho Hey |The Lumineers
I Knew You Were Trouble |Taylor Swift
Don't You Worry Child |Swedish House Mafia Featuring John Martin
Daylight |Maroon 5
Suit And Tie |Justin Timberlake Featuring Jay Z
When I Was Your Man |Bruno Mars
Beauty And A Beat |Justin Bieber Featuring Nicki Minaj
Girl On Fire |Alicia Keys Featuring Nicki Minaj
Try |P!nk
Home |Phillip Phillips
Diamonds |Rihanna
Catch My Breath |Kelly Clarkson
The A Team |Ed Sheeran
One More Night |Maroon 5
Some Nights |fun.
Hall Of Fame |The Script Featuring will.i.am
I Cry |Flo Rida
C'Mon |Ke$ha
Wanted |Hunter Hayes
Better Dig Two |The Band Perry
Die Young |Ke$ha
Every Storm (Runs Out Of Rain) |Gary Allen
Somebody That I Used To Know |Gotye Featuring Kimbra
Don't Stop The Party |Pitbull Featuring TJR
Let Me Love You |Ne-Yo
Gangnam Style |PSY
Troublemaker |Olly Murs Featuring Flo Rida
Merry Go' Round |Kacey Musgraves
Begin Again |Taylor Swift
Kiss You |One Direction
Little Things |One Direction
Va Va Voom |Nicki Minaj
